inst#,actual,predicted,error
1,?,0.032,?
1,?,0.032,?
1,?,0.061,?
1,?,0.006,?
1,?,0.052,?
1,?,0.021,?
1,?,0.008,?
1,?,0,?
1,?,0.047,?
1,?,0.049,?
1,?,0.031,?
1,?,0.014,?
1,?,0.564,?
1,?,0.077,?
1,?,0.03,?
1,?,0.03,?
1,?,0.07,?
1,?,0.022,?
1,?,0.079,?
1,?,0.008,?
1,?,0.051,?
1,?,0.011,?
1,?,0.05,?
1,?,0.054,?
1,?,0.243,?
1,?,0.024,?
1,?,0.006,?
1,?,0.145,?
1,?,0.046,?
1,?,0.024,?
1,?,0.107,?
1,?,0.063,?
1,?,0.046,?
1,?,0.062,?
1,?,0.001,?
1,?,0.004,?
1,?,0.302,?
1,?,0.051,?
1,?,0.109,?
1,?,0.074,?
1,?,0.033,?
1,?,0.025,?
1,?,0.119,?
1,?,0.024,?
1,?,0.061,?
1,?,0.387,?
1,?,0.024,?
1,?,0.079,?
1,?,0.022,?
1,?,0.119,?
1,?,0,?
1,?,0.018,?
1,?,0.014,?
1,?,0.072,?
1,?,0.013,?
1,?,0,?
1,?,0.027,?
1,?,0.25,?
1,?,0.027,?
1,?,0.047,?
1,?,0.03,?
1,?,0.02,?
1,?,0.036,?
1,?,0.034,?
1,?,0.026,?
1,?,0.012,?
1,?,0.033,?
1,?,0.081,?
1,?,0.224,?
1,?,0.047,?
1,?,0.354,?
1,?,0,?
1,?,0.066,?
1,?,0.037,?
1,?,0.041,?
1,?,0.104,?
1,?,0.067,?
1,?,0.07,?
1,?,0.047,?
1,?,0.006,?
1,?,0.002,?
1,?,0.194,?
1,?,0,?
1,?,0.033,?
1,?,0.01,?
1,?,0.242,?
1,?,0.098,?
1,?,0.018,?
1,?,0.039,?
1,?,0.016,?
1,?,0.036,?
1,?,0.09,?
1,?,0.079,?
1,?,0.121,?
1,?,0.066,?
1,?,0.059,?
1,?,0.032,?
1,?,0.051,?
1,?,0.079,?
1,?,0.073,?
1,?,0.104,?
1,?,0,?
1,?,0.032,?
1,?,0.062,?
1,?,0.066,?
1,?,0.073,?
1,?,0.1,?
1,?,0.517,?
1,?,0.053,?
1,?,0.061,?
1,?,0.072,?
1,?,0.066,?
1,?,0.089,?
1,?,0,?
1,?,0.25,?
1,?,0.002,?
1,?,0.044,?
1,?,0.12,?
1,?,0.039,?
1,?,0.079,?
1,?,0.122,?
1,?,0.064,?
1,?,0,?
1,?,0.039,?
1,?,0.065,?
1,?,0.012,?
1,?,0,?
1,?,0.416,?
1,?,0.004,?
1,?,0.025,?
1,?,0.682,?
1,?,0.032,?
1,?,0.012,?
1,?,0.092,?
1,?,0,?
1,?,0.002,?
1,?,0.033,?
1,?,0.048,?
1,?,0.049,?
1,?,0,?
1,?,0.074,?
1,?,0.005,?
1,?,0.12,?
1,?,0.063,?
1,?,0.008,?
1,?,0.049,?
1,?,0.206,?
1,?,0.032,?
1,?,0.022,?
1,?,0.119,?
1,?,0.038,?
1,?,0.075,?
1,?,0.122,?
1,?,0.01,?
1,?,0.08,?
1,?,0.01,?
1,?,0.044,?
1,?,0.024,?
1,?,0.11,?
1,?,0.034,?
1,?,0.13,?
1,?,0.029,?
1,?,0.035,?
1,?,0.034,?
1,?,0.202,?
1,?,0.017,?
1,?,0.017,?
1,?,0.084,?
1,?,0.064,?
1,?,0.04,?
1,?,0.031,?
1,?,0.068,?
1,?,0.056,?
