inst#,actual,predicted,error
1,?,0.046,?
1,?,0.044,?
1,?,0.038,?
1,?,0.082,?
1,?,0.069,?
1,?,0.027,?
1,?,0.008,?
1,?,0.033,?
1,?,0.153,?
1,?,0.049,?
1,?,0.064,?
1,?,0.027,?
1,?,0.539,?
1,?,0.078,?
1,?,0.117,?
1,?,0.09,?
1,?,0.019,?
1,?,0.108,?
1,?,0.063,?
1,?,0.012,?
1,?,0.089,?
1,?,0.078,?
1,?,0.078,?
1,?,0.03,?
1,?,0.084,?
1,?,0.109,?
1,?,0.098,?
1,?,0.098,?
1,?,0.043,?
1,?,0.066,?
1,?,0.105,?
1,?,0.069,?
1,?,0.046,?
1,?,0.088,?
1,?,0.001,?
1,?,0.004,?
1,?,0.114,?
1,?,0.057,?
1,?,0.109,?
1,?,0.074,?
1,?,0.033,?
1,?,0.025,?
1,?,0.077,?
1,?,0.024,?
1,?,0.082,?
1,?,0.124,?
1,?,0.046,?
1,?,0.071,?
1,?,0.083,?
1,?,0.113,?
1,?,0.113,?
1,?,0.071,?
1,?,0.014,?
1,?,0.139,?
1,?,0.013,?
1,?,0.067,?
1,?,0.032,?
1,?,0.112,?
1,?,0.016,?
1,?,0.047,?
1,?,0.071,?
1,?,0.005,?
1,?,0.05,?
1,?,0.034,?
1,?,0.026,?
1,?,0.073,?
1,?,0.033,?
1,?,0.076,?
1,?,0.045,?
1,?,0.061,?
1,?,0.251,?
1,?,0.032,?
1,?,0.066,?
1,?,0.019,?
1,?,0.041,?
1,?,0.067,?
1,?,0.101,?
1,?,0.016,?
1,?,0.021,?
1,?,0.083,?
1,?,0.064,?
1,?,0.056,?
1,?,0.073,?
1,?,0.027,?
1,?,0.07,?
1,?,0.071,?
1,?,0.111,?
1,?,0.12,?
1,?,0.029,?
1,?,0.049,?
1,?,0.03,?
1,?,0.09,?
1,?,0.079,?
1,?,0.314,?
1,?,0.09,?
1,?,0.059,?
1,?,0.038,?
1,?,0.079,?
1,?,0.079,?
1,?,0.024,?
1,?,0.104,?
1,?,0.002,?
1,?,0.071,?
1,?,0.062,?
1,?,0.068,?
1,?,0.064,?
1,?,0.057,?
1,?,0.036,?
1,?,0.061,?
1,?,0.061,?
1,?,0.072,?
1,?,0.066,?
1,?,0.064,?
1,?,0.018,?
1,?,0.089,?
1,?,0.08,?
1,?,0.06,?
1,?,0.106,?
1,?,0.039,?
1,?,0.008,?
1,?,0.083,?
1,?,0.064,?
1,?,0.032,?
1,?,0.039,?
1,?,0.065,?
1,?,0.032,?
1,?,0,?
1,?,0.406,?
1,?,0.006,?
1,?,0.025,?
1,?,0.067,?
1,?,0.07,?
1,?,0.072,?
1,?,0.047,?
1,?,0.044,?
1,?,0.033,?
1,?,0.026,?
1,?,0.058,?
1,?,0.049,?
1,?,0.073,?
1,?,0.046,?
1,?,0.074,?
1,?,0.024,?
1,?,0.037,?
1,?,0.075,?
1,?,0.06,?
1,?,0.1,?
1,?,0.032,?
1,?,0.022,?
1,?,0.095,?
1,?,0.117,?
1,?,0.075,?
1,?,0.025,?
1,?,0.063,?
1,?,0.019,?
1,?,0.004,?
1,?,0.076,?
1,?,0.106,?
1,?,0.064,?
1,?,0.065,?
1,?,0.115,?
1,?,0.029,?
1,?,0.041,?
1,?,0.026,?
1,?,0.099,?
1,?,0.032,?
1,?,0.017,?
1,?,0.063,?
1,?,0.064,?
1,?,0.071,?
1,?,0.031,?
1,?,0.04,?
1,?,0.074,?
1,?,0.02,?
1,?,0.071,?
1,?,0.022,?
1,?,0.083,?
1,?,0.078,?
1,?,0.051,?
1,?,0.044,?
1,?,0.022,?
1,?,0.014,?
1,?,0.074,?
1,?,0.149,?
1,?,0.047,?
1,?,0.067,?
1,?,0.025,?
1,?,0.134,?
1,?,0.059,?
1,?,0.042,?
1,?,0.032,?
1,?,0.027,?
1,?,0.042,?
1,?,0.027,?
1,?,0.019,?
1,?,0.194,?
1,?,0.117,?
1,?,0.026,?
1,?,0.071,?
1,?,0.074,?
1,?,0.035,?
1,?,0.064,?
1,?,0.026,?
1,?,0.09,?
1,?,0.05,?
1,?,0.057,?
1,?,0.036,?
1,?,0.084,?
