inst#,actual,predicted,error
1,?,?,?
1,?,?,?
1,?,0.5,?
1,?,?,?
1,?,0.5,?
1,?,?,?
1,?,0.407,?
1,?,?,?
1,?,?,?
1,?,0.417,?
1,?,0.5,?
1,?,0.5,?
1,?,0.301,?
1,?,0.476,?
1,?,?,?
1,?,?,?
1,?,1,?
1,?,0.611,?
1,?,0.615,?
1,?,0.167,?
1,?,0.5,?
1,?,?,?
1,?,0.5,?
1,?,?,?
1,?,0.254,?
1,?,?,?
1,?,?,?
1,?,0.8,?
1,?,0.455,?
1,?,0.5,?
1,?,0.839,?
1,?,0.5,?
1,?,0.417,?
1,?,?,?
1,?,1,?
1,?,?,?
1,?,?,?
1,?,0.357,?
1,?,0.529,?
1,?,0.5,?
1,?,0.5,?
1,?,0.369,?
1,?,?,?
1,?,0.5,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.5,?
1,?,?,?
1,?,0.403,?
1,?,?,?
1,?,?,?
1,?,0.545,?
1,?,?,?
1,?,0.294,?
1,?,?,?
1,?,0.281,?
1,?,?,?
1,?,?,?
1,?,0.545,?
1,?,0.5,?
1,?,0.24,?
1,?,1,?
1,?,0.526,?
1,?,0.5,?
1,?,?,?
1,?,0.438,?
1,?,0.5,?
1,?,0.484,?
1,?,0.612,?
1,?,0.615,?
1,?,?,?
1,?,0.5,?
1,?,0.158,?
1,?,0.278,?
1,?,0.254,?
1,?,0.605,?
1,?,0.256,?
1,?,?,?
1,?,0.091,?
1,?,?,?
1,?,0.503,?
1,?,?,?
1,?,1,?
1,?,?,?
1,?,0.5,?
1,?,?,?
1,?,?,?
1,?,0.5,?
1,?,?,?
1,?,0.358,?
1,?,0.5,?
1,?,0.5,?
1,?,0.396,?
1,?,0.5,?
1,?,0.5,?
1,?,0.361,?
1,?,0.5,?
1,?,0.5,?
1,?,0.808,?
1,?,0.611,?
1,?,1,?
1,?,0.5,?
1,?,0.5,?
1,?,0.611,?
1,?,?,?
1,?,0.2,?
1,?,0.484,?
1,?,0.256,?
1,?,0.538,?
1,?,0.5,?
1,?,0.5,?
1,?,0.264,?
1,?,?,?
1,?,0.484,?
1,?,?,?
1,?,0.462,?
1,?,0.645,?
1,?,0.5,?
1,?,0.5,?
1,?,0.254,?
1,?,0.5,?
1,?,0.611,?
1,?,0.5,?
1,?,0.5,?
1,?,0.5,?
1,?,0.611,?
1,?,0.731,?
1,?,1,?
1,?,0.545,?
1,?,0.484,?
1,?,0.614,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.567,?
1,?,0.538,?
1,?,?,?
1,?,?,?
1,?,0.449,?
1,?,?,?
1,?,?,?
1,?,0.132,?
1,?,?,?
1,?,0.132,?
1,?,0.528,?
1,?,0.5,?
1,?,?,?
1,?,?,?
1,?,?,?
1,?,0.5,?
1,?,0.907,?
1,?,?,?
1,?,0.5,?
1,?,?,?
1,?,0.303,?
1,?,?,?
1,?,0.528,?
1,?,0.5,?
1,?,0.589,?
1,?,0.5,?
1,?,0.5,?
1,?,?,?
